Date : 2023-01-10 20:55:54
Directory : /Users/ethan/LocalFiles/ResearchFile/SystemicRisk
Total : 119 files,  7474 codes, 3036 comments, 1573 blanks, all 12083 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| PySystemicRiskLab/core                                                                                                                                      |         38 |      2,338 |      1,669 |        576 |      4,583 |
| PySystemicRiskLab/core (Files)                                                                                                                              |          1 |          0 |         51 |          3 |         54 |
| PySystemicRiskLab/core/define                                                                                                                               |         13 |        479 |        208 |        138 |        825 |
| PySystemicRiskLab/core/functions                                                                                                                            |          7 |        934 |        391 |        158 |      1,483 |
| PySystemicRiskLab/core/initialization                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| PySystemicRiskLab/core/operations                                                                                                                           |         10 |        786 |        844 |        184 |      1,814 |
| PySystemicRiskLab/core/template                                                                                                                             |          5 |        139 |        175 |         91 |        405 |
| PySystemicRiskLab/core/tools                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| PySystemicRiskLab/models                                                                                                                                    |         33 |        551 |        303 |        216 |      1,070 |
| PySystemicRiskLab/models (Files)                                                                                                                            |          1 |          1 |          3 |          4 |          8 |
| PySystemicRiskLab/models/contents                                                                                                                           |         15 |        254 |        199 |        141 |        594 |
| PySystemicRiskLab/models/contents (Files)                                                                                                                   |          1 |         25 |          7 |          6 |         38 |
| PySystemicRiskLab/models/contents/algorithms_contents                                                                                                       |         11 |        191 |         52 |        108 |        351 |
| PySystemicRiskLab/models/contents/processes_contents                                                                                                        |          3 |         38 |        140 |         27 |        205 |
| PySystemicRiskLab/models/entities                                                                                                                           |          2 |         53 |         21 |         22 |         96 |
| PySystemicRiskLab/models/entities_data                                                                                                                      |         14 |        243 |         74 |         48 |        365 |
| PySystemicRiskLab/models/models                                                                                                                             |          1 |          0 |          6 |          1 |          7 |
| PySystemicRiskLab/tools                                                                                                                                     |          2 |         91 |         82 |         23 |        196 |
| README.assets                                                                                                                                               |          4 |         16 |          0 |          0 |         16 |
| draft                                                                                                                                                       |         28 |      3,340 |        711 |        442 |      4,493 |
| draft (Files)                                                                                                                                               |         20 |      3,124 |        685 |        355 |      4,164 |
| draft/2022-04-21                                                                                                                                            |          8 |        216 |         26 |         87 |        329 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| filename                                                                                                                                                    | language              | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.env                                                                                                      | env                   |          1 |          0 |          0 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.virtual_documents/scripts/IO/export_exp_data_to_excel.ipynb                                              | JSON                  |        129 |          0 |        106 |        235 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/export_exp_data_to_excel.ipynb                                                               | JSON                  |        654 |          0 |          0 |        654 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/export_exp_data_to_excel.py                                                                  | Python                |         80 |         85 |         99 |        264 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/exp_raw/main.py                                                                                 | Python                |         13 |         11 |         14 |         38 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/include/include_exp_files.py                                                                    | Python                |          2 |          9 |         12 |         23 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_agents_variables.py                                                                | Python                |        115 |        145 |         14 |        274 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_environment_variables.py                                                           | Python                |         18 |          6 |          8 |         32 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_parameter_variables.py                                                             | Python                |         25 |          8 |         14 |         47 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/__init__.py                                                                             | Python                |         21 |          4 |          6 |         31 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/__init__.py                                                                        | Python                |          0 |         51 |          3 |         54 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/__init__.py                                                                 | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agentDataCollection.py                                               | Python                |         11 |          9 |          8 |         28 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agents.py                                                            | Python                |        265 |         20 |         29 |        314 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agentsVariables.py                                                   | Python                |          4 |          5 |          4 |         13 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_aspect.py                                                            | Python                |         40 |         36 |         21 |         97 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_consts.py                                                            | Python                |         20 |          2 |          9 |         31 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_container.py                                                         | Python                |          4 |          4 |          4 |         12 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_entity.py                                                            | Python                |         14 |         66 |         12 |         92 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_enum.py                                                              | Python                |         11 |         39 |          6 |         56 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_environmentVariables.py                                              | Python                |         43 |          5 |         14 |         62 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_module.py                                                            | Python                |         44 |         19 |         20 |         83 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_parameterVariables.py                                                | Python                |          4 |          1 |          4 |          9 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_type.py                                                              | Python                |         19 |          2 |          6 |         27 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/__init__.py                                                              | Python                |          1 |          0 |          0 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_balanceSheet.py                                                      | Python                |         96 |         95 |         25 |        216 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_loss.py                                                              | Python                |          7 |          3 |         13 |         23 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_measure.py                                                           | Python                |          1 |          8 |         14 |         23 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_shock.py                                                             | Python                |        225 |         74 |         39 |        338 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_state.py                                                             | Python                |        426 |        139 |         40 |        605 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_transfer.py                                                          | Python                |        178 |         72 |         27 |        277 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/initialization/__init__.py                                                         | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/__init__.py                                                             | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/builder.py                                                              | Python                |         41 |         33 |         14 |         88 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/collector.py                                                            | Python                |        148 |        228 |         20 |        396 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/data_installer.py                                                       | Python                |        169 |        193 |         27 |        389 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/executer.py                                                             | Python                |         25 |         55 |         12 |         92 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/manager.py                                                              | Python                |         14 |          6 |          6 |         26 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/model_installer.py                                                      | Python                |         60 |         42 |         16 |        118 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/operator.py                                                             | Python                |         73 |         59 |         29 |        161 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/processor.py                                                            | Python                |         39 |         29 |         12 |         80 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/scheduler.py                                                            | Python                |        217 |        199 |         47 |        463 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/template/__init__.py                                                               | Python                |          0 |          6 |          1 |          7 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/template/fun_exporter.py                                                           | Python                |         49 |         80 |         21 |        150 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/template/fun_model_BI1111.py                                                       | Python                |         24 |         30 |         28 |         82 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/template/fun_model_skeleton_template.py                                            | Python                |         23 |         29 |         14 |         66 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/template/fun_process_skeleton_template.py                                          | Python                |         43 |         30 |         27 |        100 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/tools/__init__.py                                                                  | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/__init__.py                                                                      | Python                |          1 |          3 |          4 |          8 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/__init__.py                                                             | Python                |         25 |          7 |          6 |         38 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/__init__.py                                         | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_BankruptRepayShock.py              | Python                |         12 |          2 |         11 |         25 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_ExBankBankruptContagion.py         | Python                |         10 |          7 |         10 |         27 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_ExBankIlliquidShock.py             | Python                |         12 |          3 |         11 |         26 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_ExBankInsolventShock.py            | Python                |         27 |          5 |         13 |         45 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_InterBankBankruptContagionShock.py | Python                |         18 |          3 |         10 |         31 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_InterBankIlliquidAllocate.py       | Python                |         26 |          6 |          9 |         41 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_InterBankIlliquidContagionShock.py | Python                |         19 |         13 |         11 |         43 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_InterBankIlliquidRepay.py          | Python                |         31 |          5 |         14 |         50 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_InterBankInsolventContagion.py     | Python                |         15 |          4 |          7 |         26 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/algorithms_contents/algorithmContent_InterBankInsolventShock.py         | Python                |         21 |          4 |         11 |         36 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/processes_contents/__init__.py                                          | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/processes_contents/processContent_NodeProcess.py                        | Python                |         36 |        140 |         22 |        198 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/contents/processes_contents/processContent_TerminalProcess.py                    | Python                |          2 |          0 |          4 |          6 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities/__init__.py                                                             | Python                |          0 |         12 |          1 |         13 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities/entities.py                                                             | Python                |         53 |          9 |         21 |         83 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/__init__.py                                                        | Python                |         16 |          6 |          5 |         27 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_ExBankIlliquidShock.py                         | Python                |         13 |          5 |          4 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_ExBankInsolventShock.py                        | Python                |         13 |          5 |          4 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankIlliquidAllocate.py                   | Python                |         13 |          5 |          4 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankIlliquidContagionShock.py             | Python                |         13 |          6 |          4 |         23 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankIlliquidRepay.py                      | Python                |         13 |          5 |          4 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankInsolventContagion.py                 | Python                |         13 |          5 |          4 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/algorithmEntityData_InterBankInsolventShock.py                     | Python                |         13 |          5 |          4 |         22 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/modelEntityData_ModelBI0000.py                                     | Python                |         19 |          5 |          2 |         26 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/modelEntityData_ModelBI1111.py                                     | Python                |         22 |          6 |          2 |         30 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_ExBankIlliquid.py                                | Python                |         23 |          5 |          2 |         30 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_ExBankInsolvent.py                               | Python                |         23 |          6 |          3 |         32 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_InterBankIlliquid.py                             | Python                |         25 |          7 |          3 |         35 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/entities_data/processEntityData_InterBankInsolvent.py                            | Python                |         24 |          3 |          3 |         30 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/models/models/__init__.py                                                               | Python                |          0 |          6 |          1 |          7 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/tools/__init__.py                                                                       | Python                |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/tools/tools.py                                                                          | Python                |         91 |         82 |         22 |        195 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/README.assets/系统性风险实验程序流程图-实验程序流程图.drawio.svg                                                             | compressionTargetFile |          4 |          0 |          0 |          4 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/README.assets/系统性风险实验程序流程图-模型结构图-模型对应的过程.drawio.svg                                                       | compressionTargetFile |          4 |          0 |          0 |          4 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/README.assets/系统性风险实验程序流程图-模型结构图-过程对应的阶段.drawio.svg                                                       | compressionTargetFile |          4 |          0 |          0 |          4 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/README.assets/系统性风险实验程序流程图-模型结构图-通用模型.drawio.svg                                                          | compressionTargetFile |          4 |          0 |          0 |          4 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/README.md                                                                                                 | Markdown              |         32 |          0 |         32 |         64 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/SystemicRisk.Rproj                                                                                        | R DCF                 |         10 |          0 |          4 |         14 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/SystemicRisk.code-workspace                                                                               | JSON with Comments    |         26 |          3 |          1 |         30 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/content.jl                                                                               | Julia                 |         45 |          1 |         15 |         61 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/define.jl                                                                                | Julia                 |         12 |          6 |          6 |         24 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/define_component.jl                                                                      | Julia                 |         51 |          1 |         18 |         70 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/fun_builder.jl                                                                           | Julia                 |         55 |         11 |         25 |         91 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/fun_runner.jl                                                                            | Julia                 |         16 |          4 |         13 |         33 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/fun_stage.jl                                                                             | Julia                 |         12 |          0 |          4 |         16 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/skeleton.jl                                                                              | Julia                 |         15 |          2 |          2 |         19 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-04-21/test2022-04-21.jl                                                                        | Julia                 |         10 |          1 |          4 |         15 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-08-19.ipynb                                                                                    | JSON                  |        170 |          0 |          0 |        170 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/2022-08-29.jl                                                                                       | Julia                 |          0 |          0 |          1 |          1 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft2022-06-23.py                                                                                  | Python                |         13 |          6 |          6 |         25 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft2022-09-02.py                                                                                  | Python                |          5 |          0 |          3 |          8 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft2023-01-01.ipynb                                                                               | JSON                  |      1,810 |          0 |          1 |      1,811 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft2023-01-01.py                                                                                  | Python                |        119 |         27 |         19 |        165 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft_2022-08-11.jl                                                                                 | Julia                 |         22 |         10 |         12 |         44 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/draft_20221123.ipynb                                                                                | JSON                  |        655 |          0 |          1 |        656 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/fun_model_skeleton_template.jl                                                                      | Julia                 |         30 |         12 |         21 |         63 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/fun_process_skeleton_template.jl                                                                    | Julia                 |         37 |         25 |         27 |         89 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/model_exporter.jl                                                                                   | Julia                 |         10 |        117 |         23 |        150 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/process_content.jl                                                                                  | Julia                 |          1 |          3 |          4 |          8 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/runtests.jl                                                                                         | Julia                 |          2 |        333 |        104 |        439 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/runtests2.jl                                                                                        | Julia                 |         30 |         24 |         23 |         77 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/stage_content.jl                                                                                    | Julia                 |         36 |         12 |         14 |         62 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/test2022-05-05.jl                                                                                   | Julia                 |         17 |         53 |         20 |         90 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/test2022-05-12.jl                                                                                   | Julia                 |         75 |         19 |         25 |        119 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/test20220415.jl                                                                                     | Julia                 |          5 |          6 |          5 |         16 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/test_2022-04-16.jl                                                                                  | Julia                 |         38 |         19 |         23 |         80 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/draft/test_2022-04-17.jl                                                                                  | Julia                 |         49 |         19 |         23 |         91 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/intro.jl                                                                                                  | Julia                 |         12 |          0 |          6 |         18 |
| Total                                                                                                                                                       |                       |      7,474 |      3,036 |      1,573 |     12,083 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
